s,ch1,ch2,ch3,ch4
0.0,19.04975217,10.04768844,4.04631262,-11.95735623
0.008390804597701149,18.04952287,17.04929357,9.04745914,-31.9619423
0.016781609195402298,12.04814705,24.05089869,19.04975217,-31.9619423
0.02517241379310345,6.04677123,34.05319173,26.0513573,-45.96515255
0.033563218390804596,0.04539541,36.05365033,34.05319173,-42.96446464
0.04195402298850574,-4.95575111,44.05548476,41.05479685,-39.96377673
0.0503448275862069,-11.95735623,43.05525546,44.05548476,-44.96492325
0.058735632183908044,-18.95896136,41.05479685,47.05617267,-24.96033718
0.06712643678160919,-20.95941997,37.05387964,47.05617267,-4.95575111
0.07551724137931035,-19.95919066,29.05204521,43.05525546,1.04562471
0.08390804597701149,-14.95804415,19.04975217,37.05387964,11.04791775
0.09229885057471264,-12.95758554,9.04745914,30.05227451,20.04998148
0.1006896551724138,-1.9550632,-0.9548339,17.04929357,24.05089869
0.10908045977011493,8.04722983,-9.95689763,8.04722983,32.05273312
0.11747126436781609,15.04883496,-14.95804415,-0.9548339,27.0515866
0.12586206896551724,24.05089869,-17.95873206,-7.95643902,34.05319173
0.13425287356321838,28.0518159,-14.95804415,-10.95712693,30.05227451
0.14264367816091952,31.05250381,-12.95758554,-14.95804415,23.05066939
0.1510344827586207,33.05296242,-5.95598041,-11.95735623,14.04860566
0.15942528735632183,30.05227451,0.04539541,-7.95643902,4.04631262
0.16781609195402297,23.05066939,12.04814705,-2.9552925,0.04539541
0.17620689655172414,17.04929357,17.04929357,5.04654192,-4.95575111
0.18459770114942528,13.04837635,23.05066939,11.04791775,-5.95598041
0.19298850574712642,6.04677123,29.05204521,17.04929357,-10.95712693
0.2013793103448276,-0.9548339,30.05227451,22.05044008,-7.95643902
0.20977011494252873,-3.95552181,29.05204521,25.05112799,-4.95575111
0.21816091954022987,-6.95620972,25.05112799,24.05089869,-0.9548339
0.226551724137931,-6.95620972,20.04998148,25.05112799,3.04608332
0.23494252873563218,-6.95620972,17.04929357,24.05089869,9.04745914
0.24333333333333332,-3.95552181,11.04791775,20.04998148,12.04814705
0.2517241379310345,-0.9548339,6.04677123,16.04906426,17.04929357
0.2601149425287356,5.04654192,2.04585401,14.04860566,24.05089869
0.26850574712643677,6.04677123,-0.9548339,8.04722983,18.04952287
0.2768965517241379,11.04791775,-2.9552925,4.04631262,21.05021078
0.28528735632183905,14.04860566,-4.95575111,1.04562471,19.04975217
0.2936781609195402,15.04883496,-2.9552925,-0.9548339,21.05021078
0.3020689655172414,17.04929357,-0.9548339,-1.9550632,13.04837635
0.3104597701149425,18.04952287,1.04562471,-2.9552925,6.04677123
0.31885057471264366,17.04929357,3.04608332,-2.9552925,6.04677123
0.3272413793103448,17.04929357,5.04654192,-2.9552925,5.04654192
0.33563218390804594,14.04860566,8.04722983,3.04608332,5.04654192
0.3440229885057471,13.04837635,10.04768844,3.04608332,2.04585401
0.3524137931034483,11.04791775,12.04814705,5.04654192,-0.9548339
0.3608045977011494,8.04722983,14.04860566,7.04700053,-0.9548339
0.36919540229885056,4.04631262,16.04906426,10.04768844,-1.9550632
0.3775862068965517,5.04654192,18.04952287,13.04837635,-1.9550632
0.38597701149425284,2.04585401,15.04883496,16.04906426,-1.9550632
0.394367816091954,-2.9552925,17.04929357,19.04975217,-0.9548339
0.4027586206896552,-4.95575111,16.04906426,20.04998148,2.04585401
0.4111494252873563,-6.95620972,15.04883496,19.04975217,6.04677123
0.41954022988505746,-5.95598041,11.04791775,19.04975217,9.04745914
0.4279310344827586,-1.9550632,7.04700053,15.04883496,11.04791775
0.43632183908045974,-0.9548339,4.04631262,14.04860566,10.04768844
0.4447126436781609,2.04585401,0.04539541,10.04768844,17.04929357
