num. of data,6.000000E+6,Distance (m),Time 1
meas. time,1.990000E-3,0.005006,-0.95483390
center wavelength,1.549960E-6,0.015019,-0.95483390
phase division num.,3.800000E+1,0.025032,-0.95483390
calc. start position,0.000000E+0,0.035045,-0.95483390
calc. stop position,3.700000E+1,0.045057,-0.95483390
meas. point interval,1.000000E-2,0.055070,-0.95483390
spacial resolution,1.000000E-2,0.065083,-0.95483390
PNC remaining,1.000000E+0,0.075096,-0.95483390
strain resolution,1.000000E+0,0.085108,-0.95483390
search pitchi,0.000000E+0,0.095121,-2.95529250
search range,0.000000E+0,0.105134,-0.95483390
refractive index,1.470000E+0,0.115147,-0.95483390
wavelength width,2.000000E-8,0.125159,-0.95483390
modulation freq.,1.522180E+2,0.135172,-0.95483390
local signal delay,8.865000E-8,0.145185,-0.95483390
reference delay,1.260500E-7,0.155198,-0.95483390
window of etalon,5.000000E+2,0.165210,-10.95712693
sampling rate,4.000000E+9,0.175223,-37.96331813
cont. meas. interval,     0,0.185236,-40.96400604
num. of cont. meas.,     0,0.195249,-53.96698698
C:\Users\STR\data\RH_ç`òp\ã»Ç∞ééå±\n3\ï\\20260525_134412-2-100mm.h5,      ,0.205262,-41.96423534
C:\Users\STR\data\RH_ç`òp\ã»Ç∞ééå±\n3\ï\\20260525_134453-3-150mm.h5,      ,0.215274,-39.96377673
 SN: 2,      ,0.225287,-41.96423534
single,      ,0.235300,-25.96056648
20260525_13:44:53.366,      ,0.245313,-5.95598041
      ,      ,0.255325,-282.01926817
      ,      ,0.265338,-0.95483390
      ,      ,0.275351,1.04562471
      ,      ,0.285364,1.04562471
      ,      ,0.295376,3.04608332
      ,      ,0.305389,6.04677123
      ,      ,0.315402,8.04722983
      ,      ,0.325415,7.04700053
      ,      ,0.335427,6.04677123
      ,      ,0.345440,4.04631262
      ,      ,0.355453,6.04677123
      ,      ,0.365466,3.04608332
      ,      ,0.375478,5.04654192
      ,      ,0.385491,-0.95483390
      ,      ,0.395504,-5.95598041
      ,      ,0.405517,4.04631262
      ,      ,0.415529,4.04631262
      ,      ,0.425542,-4.95575111
      ,      ,0.435555,-10.95712693
      ,      ,0.445568,-17.95873206
      ,      ,0.455580,-17.95873206
      ,      ,0.465593,-21.95964927
      ,      ,0.475606,-21.95964927
      ,      ,0.485619,-21.95964927
      ,      ,0.495631,-23.96010788
      ,      ,0.505644,-19.95919066
      ,      ,0.515657,-20.95941997
      ,      ,0.525670,-19.95919066
      ,      ,0.535682,-6.95620972
      ,      ,0.545695,-3.95552181
      ,      ,0.555708,-3.95552181
      ,      ,0.565721,-4.95575111
      ,      ,0.575734,-15.95827345
      ,      ,0.585746,-14.95804415
      ,      ,0.595759,-19.95919066
      ,      ,0.605772,-20.95941997
      ,      ,0.615785,-14.95804415
      ,      ,0.625797,-16.95850275
      ,      ,0.635810,-15.95827345
      ,      ,0.645823,-16.95850275
      ,      ,0.655836,-16.95850275
      ,      ,0.665848,-16.95850275
      ,      ,0.675861,-12.95758554
      ,      ,0.685874,-8.95666832
      ,      ,0.695887,-8.95666832
      ,      ,0.705899,-7.95643902
      ,      ,0.715912,-7.95643902
      ,      ,0.725925,-3.95552181
      ,      ,0.735938,-1.95506320
      ,      ,0.745950,-0.95483390
      ,      ,0.755963,0.04539541
      ,      ,0.765976,0.04539541
      ,      ,0.775989,-3.95552181
      ,      ,0.786001,-2.95529250
      ,      ,0.796014,0.04539541
      ,      ,0.806027,1.04562471
      ,      ,0.816040,2.04585401
      ,      ,0.826052,1.04562471
      ,      ,0.836065,-0.95483390
      ,      ,0.846078,4.04631262
      ,      ,0.856091,2.04585401
      ,      ,0.866103,0.04539541
      ,      ,0.876116,-0.95483390
      ,      ,0.886129,0.04539541
      ,      ,0.896142,0.04539541
      ,      ,0.906154,-3.95552181
      ,      ,0.916167,-0.95483390
      ,      ,0.926180,0.04539541
      ,      ,0.936193,1.04562471
      ,      ,0.946206,-0.95483390
      ,      ,0.956218,0.04539541
      ,      ,0.966231,0.04539541
      ,      ,0.976244,0.04539541
      ,      ,0.986257,-1.95506320
      ,      ,0.996269,1.04562471
      ,      ,1.006282,2.04585401
      ,      ,1.016295,-1.95506320
      ,      ,1.026308,-1.95506320
      ,      ,1.036320,-0.95483390
      ,      ,1.046333,-0.95483390
      ,      ,1.056346,1.04562471
      ,      ,1.066359,1.04562471
      ,      ,1.076371,0.04539541
      ,      ,1.086384,-0.95483390
      ,      ,1.096397,1.04562471
      ,      ,1.106410,1.04562471
      ,      ,1.116422,0.04539541
      ,      ,1.126435,5.04654192
      ,      ,1.136448,1.04562471
      ,      ,1.146461,-0.95483390
      ,      ,1.156473,0.04539541
      ,      ,1.166486,-0.95483390
      ,      ,1.176499,-0.95483390
      ,      ,1.186512,0.04539541
      ,      ,1.196524,3.04608332
      ,      ,1.206537,1.04562471
      ,      ,1.216550,-0.95483390
      ,      ,1.226563,1.04562471
      ,      ,1.236575,-1.95506320
      ,      ,1.246588,1.04562471
      ,      ,1.256601,-0.95483390
      ,      ,1.266614,-0.95483390
      ,      ,1.276626,-0.95483390
      ,      ,1.286639,0.04539541
      ,      ,1.296652,0.04539541
      ,      ,1.306665,-1.95506320
      ,      ,1.316678,-0.95483390
