num. of data,6.000000E+6,Distance (m),Time 1
meas. time,1.990000E-3,0.005006,-0.26707673
center wavelength,1.549960E-6,0.015019,-0.26707673
phase division num.,3.800000E+1,0.025032,-0.26707673
calc. start position,0.000000E+0,0.035045,-0.26707673
calc. stop position,3.700000E+1,0.045057,-0.26707673
meas. point interval,1.000000E-2,0.055070,-0.26707673
spacial resolution,1.000000E-2,0.065083,-0.26707673
PNC remaining,1.000000E+0,0.075096,-0.26707673
strain resolution,1.000000E+0,0.085108,-0.26707673
search pitchi,0.000000E+0,0.095121,-0.26707673
search range,0.000000E+0,0.105134,-0.26707673
refractive index,1.470000E+0,0.115147,-0.26707673
wavelength width,2.000000E-8,0.125159,-0.26707673
modulation freq.,1.522180E+2,0.135172,-0.26707673
local signal delay,8.865000E-8,0.145185,-0.26707673
reference delay,1.260500E-7,0.155198,-0.26707673
window of etalon,5.000000E+2,0.165210,-0.26707673
sampling rate,4.000000E+9,0.175223,-0.26707673
cont. meas. interval,     0,0.185236,-0.26707673
num. of cont. meas.,     0,0.195249,-0.26707673
C:\Users\STR\data\RH_ç`òp\ã»Ç∞ééå±\n3\ï\\20260525_133858-0-0mm(ini).h5,      ,0.205262,-0.26707673
C:\Users\STR\data\RH_ç`òp\ã»Ç∞ééå±\n3\ï\\20260525_133948-1-50mm.h5,      ,0.215274,-0.26707673
 SN: 2,      ,0.225287,-0.26707673
single,      ,0.235300,-0.26707673
20260525_13:39:48.569,      ,0.245313,-0.26707673
      ,      ,0.255325,-255.32554911
      ,      ,0.265338,-0.26707673
      ,      ,0.275351,-0.26707673
      ,      ,0.285364,8.73498700
      ,      ,0.295376,-0.26707673
      ,      ,0.305389,6.73452840
      ,      ,0.315402,0.73315258
      ,      ,0.325415,-0.26707673
      ,      ,0.335427,13.73613352
      ,      ,0.345440,-0.26707673
      ,      ,0.355453,-0.26707673
      ,      ,0.365466,19.73750934
      ,      ,0.375478,15.73659213
      ,      ,0.385491,20.73773865
      ,      ,0.395504,5.73429909
      ,      ,0.405517,8.73498700
      ,      ,0.415529,-0.26707673
      ,      ,0.425542,-0.26707673
      ,      ,0.435555,-0.26707673
      ,      ,0.445568,-0.26707673
      ,      ,0.455580,-0.26707673
      ,      ,0.465593,-0.26707673
      ,      ,0.475606,1.73338188
      ,      ,0.485619,4.73406979
      ,      ,0.495631,8.73498700
      ,      ,0.505644,6.73452840
      ,      ,0.515657,4.73406979
      ,      ,0.525670,5.73429909
      ,      ,0.535682,9.73521631
      ,      ,0.545695,5.73429909
      ,      ,0.555708,10.73544561
      ,      ,0.565721,8.73498700
      ,      ,0.575734,20.73773865
      ,      ,0.585746,2.73361118
      ,      ,0.595759,-0.26707673
      ,      ,0.605772,1.73338188
      ,      ,0.615785,-0.26707673
      ,      ,0.625797,-0.26707673
      ,      ,0.635810,0.73315258
      ,      ,0.645823,-0.26707673
      ,      ,0.655836,-0.26707673
      ,      ,0.665848,0.73315258
      ,      ,0.675861,1.73338188
      ,      ,0.685874,2.73361118
      ,      ,0.695887,3.73384049
      ,      ,0.705899,8.73498700
      ,      ,0.715912,9.73521631
      ,      ,0.725925,9.73521631
      ,      ,0.735938,6.73452840
      ,      ,0.745950,9.73521631
      ,      ,0.755963,11.73567491
      ,      ,0.765976,5.73429909
      ,      ,0.775989,9.73521631
      ,      ,0.786001,6.73452840
      ,      ,0.796014,7.73475770
      ,      ,0.806027,5.73429909
      ,      ,0.816040,1.73338188
      ,      ,0.826052,-2.26753533
      ,      ,0.836065,3.73384049
      ,      ,0.846078,3.73384049
      ,      ,0.856091,1.73338188
      ,      ,0.866103,1.73338188
      ,      ,0.876116,3.73384049
      ,      ,0.886129,0.73315258
      ,      ,0.896142,1.73338188
      ,      ,0.906154,1.73338188
      ,      ,0.916167,3.73384049
      ,      ,0.926180,4.73406979
      ,      ,0.936193,-0.26707673
      ,      ,0.946206,1.73338188
      ,      ,0.956218,-1.26730603
      ,      ,0.966231,2.73361118
      ,      ,0.976244,-0.26707673
      ,      ,0.986257,0.73315258
      ,      ,0.996269,1.73338188
      ,      ,1.006282,-2.26753533
      ,      ,1.016295,1.73338188
      ,      ,1.026308,0.73315258
      ,      ,1.036320,-0.26707673
      ,      ,1.046333,-2.26753533
      ,      ,1.056346,-3.26776464
      ,      ,1.066359,-0.26707673
      ,      ,1.076371,1.73338188
      ,      ,1.086384,-1.26730603
      ,      ,1.096397,-2.26753533
      ,      ,1.106410,-1.26730603
      ,      ,1.116422,-4.26799394
      ,      ,1.126435,-2.26753533
      ,      ,1.136448,-2.26753533
      ,      ,1.146461,-0.26707673
      ,      ,1.156473,-2.26753533
      ,      ,1.166486,-1.26730603
      ,      ,1.176499,-1.26730603
      ,      ,1.186512,0.73315258
      ,      ,1.196524,-0.26707673
      ,      ,1.206537,-1.26730603
      ,      ,1.216550,-1.26730603
      ,      ,1.226563,-3.26776464
      ,      ,1.236575,-1.26730603
      ,      ,1.246588,-1.26730603
      ,      ,1.256601,-0.26707673
      ,      ,1.266614,-0.26707673
      ,      ,1.276626,-0.26707673
      ,      ,1.286639,-2.26753533
      ,      ,1.296652,-0.26707673
      ,      ,1.306665,-0.26707673
      ,      ,1.316678,-1.26730603
      ,      ,1.326690,-0.26707673
      ,      ,1.336703,-0.26707673
      ,      ,1.346716,-2.26753533
      ,      ,1.356729,1.73338188
      ,      ,1.366741,1.73338188
      ,      ,1.376754,-0.26707673
      ,      ,1.386767,-1.26730603
      ,      ,1.396780,-0.26707673
      ,      ,1.406792,-0.26707673
      ,      ,1.416805,-0.26707673
      ,      ,1.426818,-2.26753533
      ,      ,1.436831,-2.26753533
      ,      ,1.446843,-2.26753533
      ,      ,1.456856,0.73315258
      ,      ,1.466869,-0.26707673
      ,      ,1.476882,-5.26822324
      ,      ,1.486894,-0.26707673
      ,      ,1.496907,-2.26753533
      ,      ,1.506920,-1.26730603
      ,      ,1.516933,-2.26753533
      ,      ,1.526945,-3.26776464
      ,      ,1.536958,-1.26730603
      ,      ,1.546971,-0.26707673
      ,      ,1.556984,-0.26707673
      ,      ,1.566996,-3.26776464
      ,      ,1.577009,1.73338188
      ,      ,1.587022,0.73315258
      ,      ,1.597035,-2.26753533
      ,      ,1.607047,-1.26730603
      ,      ,1.617060,-2.26753533
      ,      ,1.627073,-2.26753533
      ,      ,1.637086,-0.26707673
      ,      ,1.647099,-0.26707673
      ,      ,1.657111,1.73338188
      ,      ,1.667124,1.73338188
      ,      ,1.677137,-2.26753533
      ,      ,1.687150,-0.26707673
      ,      ,1.697162,-2.26753533
      ,      ,1.707175,-0.26707673
      ,      ,1.717188,0.73315258
      ,      ,1.727201,-1.26730603
      ,      ,1.737213,2.73361118
      ,      ,1.747226,-2.26753533
      ,      ,1.757239,-0.26707673
      ,      ,1.767252,0.73315258
      ,      ,1.777264,-0.26707673
      ,      ,1.787277,0.73315258
      ,      ,1.797290,-1.26730603
      ,      ,1.807303,-0.26707673
      ,      ,1.817315,-1.26730603
      ,      ,1.827328,-1.26730603
      ,      ,1.837341,-4.26799394
      ,      ,1.847354,-1.26730603
      ,      ,1.857366,-2.26753533
      ,      ,1.867379,-3.26776464
      ,      ,1.877392,-2.26753533
      ,      ,1.887405,0.73315258
      ,      ,1.897417,-2.26753533
      ,      ,1.907430,-3.26776464
      ,      ,1.917443,-2.26753533
      ,      ,1.927456,-1.26730603
      ,      ,1.937468,-1.26730603
      ,      ,1.947481,-2.26753533
      ,      ,1.957494,2.73361118
      ,      ,1.967507,-0.26707673
      ,      ,1.977519,-1.26730603
      ,      ,1.987532,-3.26776464
      ,      ,1.997545,-2.26753533
      ,      ,2.007558,-0.26707673
      ,      ,2.017571,0.73315258
      ,      ,2.027583,-0.26707673
      ,      ,2.037596,0.73315258
      ,      ,2.047609,-0.26707673
      ,      ,2.057622,-0.26707673
      ,      ,2.067634,-2.26753533
      ,      ,2.077647,-1.26730603
      ,      ,2.087660,-1.26730603
      ,      ,2.097673,-0.26707673
      ,      ,2.107685,0.73315258
      ,      ,2.117698,-0.26707673
      ,      ,2.127711,0.73315258
      ,      ,2.137724,-2.26753533
      ,      ,2.147736,-0.26707673
      ,      ,2.157749,-1.26730603
      ,      ,2.167762,-0.26707673
      ,      ,2.177775,0.73315258
      ,      ,2.187787,-3.26776464
      ,      ,2.197800,0.73315258
      ,      ,2.207813,2.73361118
      ,      ,2.217826,-1.26730603
      ,      ,2.227838,-2.26753533
      ,      ,2.237851,-0.26707673
      ,      ,2.247864,-2.26753533
      ,      ,2.257877,-1.26730603
      ,      ,2.267889,-5.26822324
      ,      ,2.277902,-2.26753533
      ,      ,2.287915,-0.26707673
      ,      ,2.297928,-3.26776464
      ,      ,2.307940,1.73338188
      ,      ,2.317953,1.73338188
      ,      ,2.327966,-1.26730603
      ,      ,2.337979,-0.26707673
      ,      ,2.347991,-1.26730603
      ,      ,2.358004,-3.26776464
      ,      ,2.368017,-0.26707673
      ,      ,2.378030,-0.26707673
      ,      ,2.388043,0.73315258
      ,      ,2.398055,0.73315258
      ,      ,2.408068,0.73315258
      ,      ,2.418081,-2.26753533
      ,      ,2.428094,-3.26776464
      ,      ,2.438106,-0.26707673
      ,      ,2.448119,-2.26753533
      ,      ,2.458132,0.73315258
      ,      ,2.468145,0.73315258
      ,      ,2.478157,-4.26799394
      ,      ,2.488170,-5.26822324
      ,      ,2.498183,-1.26730603
      ,      ,2.508196,-1.26730603
      ,      ,2.518208,-3.26776464
      ,      ,2.528221,1.73338188
      ,      ,2.538234,0.73315258
      ,      ,2.548247,0.73315258
      ,      ,2.558259,0.73315258
      ,      ,2.568272,-1.26730603
      ,      ,2.578285,-0.26707673
      ,      ,2.588298,-0.26707673
      ,      ,2.598310,-4.26799394
      ,      ,2.608323,-1.26730603
      ,      ,2.618336,-0.26707673
      ,      ,2.628349,1.73338188
      ,      ,2.638361,-1.26730603
      ,      ,2.648374,-2.26753533
      ,      ,2.658387,-0.26707673
      ,      ,2.668400,-1.26730603
      ,      ,2.678412,-2.26753533
      ,      ,2.688425,3.73384049
      ,      ,2.698438,-0.26707673
      ,      ,2.708451,0.73315258
      ,      ,2.718463,-1.26730603
      ,      ,2.728476,-1.26730603
      ,      ,2.738489,-2.26753533
      ,      ,2.748502,1.73338188
      ,      ,2.758515,-1.26730603
      ,      ,2.768527,-0.26707673
      ,      ,2.778540,-0.26707673
      ,      ,2.788553,-0.26707673
      ,      ,2.798566,1.73338188
      ,      ,2.808578,1.73338188
      ,      ,2.818591,-2.26753533
      ,      ,2.828604,-3.26776464
      ,      ,2.838617,2.73361118
      ,      ,2.848629,0.73315258
      ,      ,2.858642,-0.26707673
      ,      ,2.868655,0.73315258
      ,      ,2.878668,-1.26730603
      ,      ,2.888680,-2.26753533
      ,      ,2.898693,-2.26753533
      ,      ,2.908706,-5.26822324
      ,      ,2.918719,0.73315258
      ,      ,2.928731,-0.26707673
      ,      ,2.938744,-3.26776464
      ,      ,2.948757,-0.26707673
      ,      ,2.958770,-2.26753533
      ,      ,2.968782,-3.26776464
      ,      ,2.978795,-0.26707673
      ,      ,2.988808,-5.26822324
      ,      ,2.998821,-1.26730603
      ,      ,3.008833,0.73315258
      ,      ,3.018846,-5.26822324
      ,      ,3.028859,-3.26776464
      ,      ,3.038872,0.73315258
      ,      ,3.048884,-1.26730603
      ,      ,3.058897,-4.26799394
      ,      ,3.068910,-0.26707673
      ,      ,3.078923,-3.26776464
      ,      ,3.088935,-0.26707673
      ,      ,3.098948,-3.26776464
      ,      ,3.108961,-3.26776464
      ,      ,3.118974,0.73315258
      ,      ,3.128987,-2.26753533
      ,      ,3.138999,-2.26753533
      ,      ,3.149012,-1.26730603
      ,      ,3.159025,-5.26822324
      ,      ,3.169038,-1.26730603
      ,      ,3.179050,-0.26707673
      ,      ,3.189063,-1.26730603
      ,      ,3.199076,2.73361118
      ,      ,3.209089,-0.26707673
      ,      ,3.219101,-0.26707673
      ,      ,3.229114,-0.26707673
      ,      ,3.239127,1.73338188
      ,      ,3.249140,-2.26753533
      ,      ,3.259152,-3.26776464
      ,      ,3.269165,1.73338188
      ,      ,3.279178,0.73315258
      ,      ,3.289191,-1.26730603
      ,      ,3.299203,0.73315258
      ,      ,3.309216,-3.26776464
      ,      ,3.319229,-0.26707673
      ,      ,3.329242,1.73338188
      ,      ,3.339254,-8.26891116
      ,      ,3.349267,-5.26822324
      ,      ,3.359280,-1.26730603
      ,      ,3.369293,-3.26776464
      ,      ,3.379305,-0.26707673
      ,      ,3.389318,-2.26753533
      ,      ,3.399331,-3.26776464
      ,      ,3.409344,-1.26730603
      ,      ,3.419356,-1.26730603
      ,      ,3.429369,-2.26753533
      ,      ,3.439382,-0.26707673
      ,      ,3.449395,-1.26730603
      ,      ,3.459407,-0.26707673
      ,      ,3.469420,-3.26776464
      ,      ,3.479433,-0.26707673
      ,      ,3.489446,-0.26707673
      ,      ,3.499459,-2.26753533
      ,      ,3.509471,1.73338188
      ,      ,3.519484,-1.26730603
      ,      ,3.529497,-3.26776464
      ,      ,3.539510,-4.26799394
      ,      ,3.549522,-1.26730603
      ,      ,3.559535,0.73315258
      ,      ,3.569548,-2.26753533
      ,      ,3.579561,-0.26707673
      ,      ,3.589573,-1.26730603
      ,      ,3.599586,-0.26707673
      ,      ,3.609599,-2.26753533
      ,      ,3.619612,-2.26753533
      ,      ,3.629624,-0.26707673
      ,      ,3.639637,-2.26753533
      ,      ,3.649650,-1.26730603
      ,      ,3.659663,-1.26730603
      ,      ,3.669675,-2.26753533
      ,      ,3.679688,-1.26730603
      ,      ,3.689701,-2.26753533
      ,      ,3.699714,-2.26753533
      ,      ,3.709726,-1.26730603
      ,      ,3.719739,-1.26730603
      ,      ,3.729752,-4.26799394
      ,      ,3.739765,-2.26753533
      ,      ,3.749777,0.73315258
      ,      ,3.759790,-2.26753533
      ,      ,3.769803,-3.26776464
      ,      ,3.779816,-2.26753533
      ,      ,3.789828,-2.26753533
      ,      ,3.799841,-2.26753533
      ,      ,3.809854,-1.26730603
      ,      ,3.819867,-2.26753533
      ,      ,3.829879,-0.26707673
      ,      ,3.839892,-1.26730603
      ,      ,3.849905,-1.26730603
      ,      ,3.859918,-1.26730603
      ,      ,3.869931,1.73338188
      ,      ,3.879943,-0.26707673
      ,      ,3.889956,-0.26707673
      ,      ,3.899969,-1.26730603
      ,      ,3.909982,-1.26730603
      ,      ,3.919994,-1.26730603
      ,      ,3.930007,-1.26730603
      ,      ,3.940020,-0.26707673
      ,      ,3.950033,-1.26730603
      ,      ,3.960045,-0.26707673
      ,      ,3.970058,-0.26707673
      ,      ,3.980071,-1.26730603
      ,      ,3.990084,-1.26730603
      ,      ,4.000096,0.73315258
      ,      ,4.010109,-0.26707673
      ,      ,4.020122,1.73338188
      ,      ,4.030135,-1.26730603
      ,      ,4.040147,-1.26730603
      ,      ,4.050160,-1.26730603
      ,      ,4.060173,0.73315258
      ,      ,4.070186,1.73338188
      ,      ,4.080198,-2.26753533
      ,      ,4.090211,1.73338188
      ,      ,4.100224,-1.26730603
      ,      ,4.110237,-2.26753533
      ,      ,4.120249,-2.26753533
      ,      ,4.130262,-2.26753533
      ,      ,4.140275,-1.26730603
      ,      ,4.150288,-4.26799394
      ,      ,4.160300,-5.26822324
      ,      ,4.170313,-3.26776464
      ,      ,4.180326,-2.26753533
      ,      ,4.190339,-3.26776464
      ,      ,4.200352,-3.26776464
      ,      ,4.210364,-0.26707673
      ,      ,4.220377,-1.26730603
      ,      ,4.230390,-0.26707673
      ,      ,4.240403,0.73315258
      ,      ,4.250415,-1.26730603
      ,      ,4.260428,-0.26707673
      ,      ,4.270441,-0.26707673
      ,      ,4.280454,-0.26707673
      ,      ,4.290466,-1.26730603
      ,      ,4.300479,-3.26776464
      ,      ,4.310492,-0.26707673
      ,      ,4.320505,-0.26707673
      ,      ,4.330517,-1.26730603
      ,      ,4.340530,-2.26753533
      ,      ,4.350543,-0.26707673
      ,      ,4.360556,-2.26753533
      ,      ,4.370568,0.73315258
      ,      ,4.380581,-0.26707673
      ,      ,4.390594,-1.26730603
      ,      ,4.400607,1.73338188
      ,      ,4.410619,-2.26753533
      ,      ,4.420632,-0.26707673
      ,      ,4.430645,-1.26730603
      ,      ,4.440658,-2.26753533
      ,      ,4.450670,-2.26753533
      ,      ,4.460683,1.73338188
      ,      ,4.470696,-0.26707673
      ,      ,4.480709,1.73338188
      ,      ,4.490721,-1.26730603
      ,      ,4.500734,-2.26753533
      ,      ,4.510747,-1.26730603
      ,      ,4.520760,-2.26753533
      ,      ,4.530772,-3.26776464
      ,      ,4.540785,-1.26730603
      ,      ,4.550798,-1.26730603
      ,      ,4.560811,-2.26753533
      ,      ,4.570824,-3.26776464
      ,      ,4.580836,-2.26753533
      ,      ,4.590849,-0.26707673
      ,      ,4.600862,-3.26776464
      ,      ,4.610875,-1.26730603
      ,      ,4.620887,-0.26707673
      ,      ,4.630900,-0.26707673
      ,      ,4.640913,-0.26707673
      ,      ,4.650926,0.73315258
      ,      ,4.660938,-2.26753533
      ,      ,4.670951,-0.26707673
      ,      ,4.680964,-1.26730603
      ,      ,4.690977,0.73315258
      ,      ,4.700989,-1.26730603
      ,      ,4.711002,-1.26730603
      ,      ,4.721015,-1.26730603
      ,      ,4.731028,-0.26707673
