num. of data,6.000000E+6,Distance (m),Time 1
meas. time,1.990000E-3,0.005006,0.67807045
center wavelength,1.549960E-6,0.015019,0.67807045
phase division num.,3.800000E+1,0.025032,0.67807045
calc. start position,0.000000E+0,0.035045,0.67807045
calc. stop position,3.700000E+1,0.045057,0.67807045
meas. point interval,1.000000E-2,0.055070,0.67807045
spacial resolution,1.000000E-2,0.065083,0.67807045
PNC remaining,1.000000E+0,0.075096,-0.32215886
strain resolution,1.000000E+0,0.085108,3.67875836
search pitchi,0.000000E+0,0.095121,0.67807045
search range,0.000000E+0,0.105134,-87.34210826
refractive index,1.470000E+0,0.115147,-3.32284677
wavelength width,2.000000E-8,0.125159,0.67807045
modulation freq.,1.522180E+2,0.135172,0.67807045
local signal delay,8.865000E-8,0.145185,0.67807045
reference delay,1.260500E-7,0.155198,-14.32536910
window of etalon,5.000000E+2,0.165210,0.67807045
sampling rate,4.000000E+9,0.175223,81.69664403
cont. meas. interval,     0,0.185236,103.70168871
num. of cont. meas.,     0,0.195249,102.70145940
C:\Users\STR\data\RH_ç`òp\ã»Ç∞ééå±\n3\ï\\20260525_134215-1-50mm.h5,      ,0.205262,107.70260592
C:\Users\STR\data\RH_ç`òp\ã»Ç∞ééå±\n3\ï\\20260525_134254-2-100mm.h5,      ,0.215274,108.70283522
 SN: 2,      ,0.225287,103.70168871
single,      ,0.235300,57.69114075
20260525_13:42:54.800,      ,0.245313,2.67852906
      ,      ,0.255325,137.70948502
      ,      ,0.265338,-0.32215886
      ,      ,0.275351,-2.32261746
      ,      ,0.285364,0.67807045
      ,      ,0.295376,2.67852906
      ,      ,0.305389,6.67944627
      ,      ,0.315402,3.67875836
      ,      ,0.325415,8.67990488
      ,      ,0.335427,11.68059279
      ,      ,0.345440,14.68128070
      ,      ,0.355453,14.68128070
      ,      ,0.365466,13.68105139
      ,      ,0.375478,16.68173930
      ,      ,0.385491,17.68196861
      ,      ,0.395504,20.68265652
      ,      ,0.405517,22.68311512
      ,      ,0.415529,49.68930632
      ,      ,0.425542,71.69435099
      ,      ,0.435555,82.69687333
      ,      ,0.445568,79.69618542
      ,      ,0.455580,75.69526821
      ,      ,0.465593,76.69549751
      ,      ,0.475606,77.69572682
      ,      ,0.485619,77.69572682
      ,      ,0.495631,76.69549751
      ,      ,0.505644,73.69480960
      ,      ,0.515657,70.69412169
      ,      ,0.525670,53.69022353
      ,      ,0.535682,37.68655468
      ,      ,0.545695,25.68380304
      ,      ,0.555708,23.68334443
      ,      ,0.565721,24.68357373
      ,      ,0.575734,23.68334443
      ,      ,0.585746,27.68426164
      ,      ,0.595759,27.68426164
      ,      ,0.605772,24.68357373
      ,      ,0.615785,21.68288582
      ,      ,0.625797,17.68196861
      ,      ,0.635810,13.68105139
      ,      ,0.645823,14.68128070
      ,      ,0.655836,10.68036348
      ,      ,0.665848,8.67990488
      ,      ,0.675861,6.67944627
      ,      ,0.685874,10.68036348
      ,      ,0.695887,8.67990488
      ,      ,0.705899,5.67921697
      ,      ,0.715912,8.67990488
      ,      ,0.725925,3.67875836
      ,      ,0.735938,5.67921697
      ,      ,0.745950,5.67921697
      ,      ,0.755963,5.67921697
      ,      ,0.765976,3.67875836
      ,      ,0.775989,2.67852906
      ,      ,0.786001,-0.32215886
      ,      ,0.796014,-1.32238816
      ,      ,0.806027,1.67829975
      ,      ,0.816040,-3.32284677
      ,      ,0.826052,-0.32215886
      ,      ,0.836065,-2.32261746
      ,      ,0.846078,-0.32215886
      ,      ,0.856091,-2.32261746
      ,      ,0.866103,0.67807045
      ,      ,0.876116,-3.32284677
      ,      ,0.886129,0.67807045
      ,      ,0.896142,-3.32284677
      ,      ,0.906154,-1.32238816
      ,      ,0.916167,-1.32238816
      ,      ,0.926180,-3.32284677
      ,      ,0.936193,-1.32238816
      ,      ,0.946206,-1.32238816
      ,      ,0.956218,-4.32307607
      ,      ,0.966231,-0.32215886
      ,      ,0.976244,-1.32238816
      ,      ,0.986257,-2.32261746
      ,      ,0.996269,-2.32261746
      ,      ,1.006282,-2.32261746
      ,      ,1.016295,-5.32330537
      ,      ,1.026308,-3.32284677
      ,      ,1.036320,-5.32330537
      ,      ,1.046333,-0.32215886
      ,      ,1.056346,-3.32284677
      ,      ,1.066359,0.67807045
      ,      ,1.076371,2.67852906
      ,      ,1.086384,0.67807045
      ,      ,1.096397,1.67829975
      ,      ,1.106410,-1.32238816
      ,      ,1.116422,-0.32215886
      ,      ,1.126435,1.67829975
      ,      ,1.136448,-0.32215886
      ,      ,1.146461,0.67807045
